EOM,dwh_country_id,payout_quarter,cash_list_actual_date,cash_list_actual_monthly,cash_list_expected_date,cash_list_expected_date_plan,cash_list_expected_monthly,n_loans,volume_10K
2015-04-30 00:00:00,128,2014_Q4,0.0687354702085,0.0524781514196,0.0569030402532,0.0526735587277,0.0585000632993,17,4.29
2015-04-30 00:00:00,128,2015_Q1,0.0670428030229,0.0690235258211,0.050158953191,0.0468520989614,0.0505816454075,11,5.61
2015-05-31 00:00:00,1,2014_Q1,0.05708750128,0.0558052628461,0.054221984047,0.0511361220339,0.0563232373475,84,41.28
2015-05-31 00:00:00,1,2014_Q2,0.0724694520913,0.0646684683417,0.0450920310165,0.0424879151727,0.0465880187897,85,65.55
2015-05-31 00:00:00,1,2014_Q3,0.0459322782822,0.042214407454,0.0309018705069,0.0474171336429,0.0320193457727,249,225.43
2015-05-31 00:00:00,1,2014_Q4,0.0404773742387,0.0384771537275,0.0329019434385,0.0389325637341,0.0341428768661,397,408.74
2015-05-31 00:00:00,1,2015_Q1,0.0538475249332,0.0516122282233,0.0302693960645,0.0331354392985,0.0313395109462,437,509.7
2015-05-31 00:00:00,32,2014_Q2,0.062320121082,0.0626480547449,0.0515153776592,0.0379131758514,0.0534665562667,6,1.98
2015-05-31 00:00:00,32,2014_Q3,0.0329029049998,0.0340940812444,0.0367684500749,0.0365798350647,0.0383330786906,35,15.23
2015-05-31 00:00:00,32,2014_Q4,0.05923635394,0.0497305703606,-0.000382037905282,0.0376683786331,-0.000357613486414,23,9.23
2015-05-31 00:00:00,32,2015_Q1,0.044730726032,0.0495338194454,0.0300360679286,0.0269254049022,0.0315279334313,13,6.4
2015-05-31 00:00:00,128,2014_Q4,0.0620497962616,0.0619573242798,0.0555101284403,0.0526735587277,0.0573133206365,17,4.29
2015-05-31 00:00:00,128,2015_Q1,0.0692725681583,0.0692464508258,0.0518038736391,0.0479647530459,0.0522364452895,15,7.61
2015-06-30 00:00:00,1,2014_Q1,0.0607720017461,0.0590420539061,0.0567689333348,0.0511361220339,0.0586786778951,84,41.28
2015-06-30 00:00:00,1,2014_Q2,0.0644174262473,0.0550742460957,0.0437108649228,0.0424879151727,0.0450987201761,85,65.55
2015-06-30 00:00:00,1,2014_Q3,0.033000878613,0.0296258816169,0.0291757878575,0.0474171336429,0.030164923037,249,225.43
2015-06-30 00:00:00,1,2014_Q4,0.0437216568272,0.0409112914372,0.0337369957645,0.0389325637341,0.0349154093518,397,408.74
2015-06-30 00:00:00,1,2015_Q1,0.054086827814,0.0513497639129,0.031631571025,0.0328553256208,0.0327807462453,720,845.085
2015-06-30 00:00:00,32,2014_Q2,0.0625731904965,0.0625991638843,0.0525111030725,0.0379131758514,0.0543931056386,6,1.98
2015-06-30 00:00:00,32,2014_Q3,0.0351949952302,0.0360469214181,0.0373936882589,0.0365798350647,0.0389803559015,35,15.23
2015-06-30 00:00:00,32,2014_Q4,0.0622191928156,0.0557593002289,0.0120057762185,0.0376683786331,0.012509164251,23,9.23
2015-06-30 00:00:00,32,2015_Q1,0.0502122097554,0.0503582179892,0.0318296213299,0.0278713230839,0.0329217782456,16,8.3
2015-06-30 00:00:00,128,2014_Q4,0.072932491086,0.0624314703607,0.0595960873644,0.0526735587277,0.0611564132311,17,4.29
2015-06-30 00:00:00,128,2015_Q1,0.0646485881434,0.0495094048008,0.0347807248846,0.045966278852,0.0350429678877,31,17.6
