EOM,dwh_country_id,gblrc_rating_mapped_base,cash_list_actual_date,cash_list_actual_monthly,cash_list_expected_date,cash_list_expected_date_plan,cash_list_expected_monthly,n_loans,volume_10K
2015-04-30 00:00:00,1,E,0.126417879169,0.124040244488,0.0623267368282,0.0565555047922,0.0647872249593,125,89.09
2015-04-30 00:00:00,32,A,0.0227462844433,0.0227591585172,0.0200901213743,0.0191528980031,0.0207219599553,7,2.6
2015-04-30 00:00:00,32,B,0.0372544669325,0.0378272084142,0.0299300735413,0.0265298121767,0.0312109281611,26,11.22
2015-04-30 00:00:00,32,C,0.0225445088337,0.0205953178708,0.0259240869023,0.036887539522,0.0269779008276,27,11.02
2015-04-30 00:00:00,32,D,0.0832773277586,0.0756907100134,0.0248179896581,0.0512938487402,0.025802942509,12,5.5
2015-04-30 00:00:00,32,E,0.138321811638,0.138394916666,0.0890386549906,0.0668690768874,0.0934379636859,1,0.75
2015-04-30 00:00:00,128,A,0.0468114022856,0.0477155594946,0.0421505303155,0.0414124939945,0.0423960008486,3,2.0
2015-04-30 00:00:00,128,B,0.0442262563251,0.044983117844,0.0383304622824,0.0354441496596,0.0387986242572,4,1.56
2015-04-30 00:00:00,128,C,0.0625717352231,0.0703785890592,0.0545644198138,0.0506031193592,0.0561720412019,8,2.56
2015-04-30 00:00:00,128,D,0.0885567832493,0.0704855173525,0.0644701361795,0.0571220281354,0.0655976921046,11,3.43
2015-04-30 00:00:00,128,E,0.0959631768515,0.0417872815126,0.0576829333633,0.06725604248,0.0582511951801,2,0.35
2015-05-31 00:00:00,1,A,0.0345455608686,0.0326443009379,0.0261538022501,0.027503338274,0.0270730907241,210,241.49
2015-05-31 00:00:00,1,B,0.0424778333416,0.0406237048614,0.0275868893706,0.0313459593373,0.028522512816,239,250.22
2015-05-31 00:00:00,1,C,0.0542011611043,0.0513464143775,0.0324389179121,0.038500721602,0.0336255525664,320,334.29
2015-05-31 00:00:00,1,D,0.0388071813949,0.0341413186975,0.0338639323501,0.048372254668,0.0350595317095,318,301.33
