EOM,dwh_country_id,payout_quarter,rating_base,cash_list_actual_date,cash_list_actual_monthly,cash_list_expected_date,cash_list_expected_date_plan,cash_list_expected_monthly,n_loans,volume_10K
2014-10-31 00:00:00,1,2014_Q2,A,0.0477969627972,0.0480824657901,0.0414129411438,0.0400237107624,0.0429328980458,13,11.51
2014-10-31 00:00:00,1,2014_Q2,B,0.0554319980134,0.055696954556,0.0372361625833,0.0337412781343,0.0385480139391,29,21.65
2014-10-31 00:00:00,1,2014_Q2,C,0.0751200071965,0.0783723378713,0.0461092337956,0.0391336172749,0.048151660902,16,14.45
2014-10-31 00:00:00,1,2014_Q2,D,0.100212495627,0.0999869033188,0.0594547094878,0.0581205398149,0.0618922942937,12,7.3
2014-10-31 00:00:00,1,2014_Q2,E,0.13206640869,0.122982879255,0.0725962523169,0.0621094441893,0.075775360738,15,10.64
2014-10-31 00:00:00,1,2014_Q3,A,0.0409772369327,0.0416186020413,0.0365759467343,0.0353613775951,0.0379686238274,14,12.85
2014-10-31 00:00:00,1,2014_Q3,B,0.0536226719156,0.0530043246659,0.0345541826231,0.0326422450467,0.0355656416484,13,16.29
2014-10-31 00:00:00,1,2014_Q3,C,0.0710280661277,0.0701281779948,0.0412013513604,0.0378469644006,0.0427980056515,15,13.65
2014-10-31 00:00:00,1,2014_Q3,D,0.111140376991,0.114701337926,0.0674853258527,0.0623297991231,0.0700667642339,9,8.69
2014-10-31 00:00:00,1,2014_Q3,E,0.119253007096,0.117815693928,0.0665715020591,0.0601536667138,0.069449224736,7,5.21
2014-10-31 00:00:00,32,2014_Q2,B,0.0331050967553,0.0327637611163,0.0206528431809,0.0177876852949,0.0217584097096,2,0.88
2014-10-31 00:00:00,32,2014_Q2,D,0.0650135905696,0.00169040176402,0.0460499030667,0.0535691987863,0.0482766986926,3,0.8
2014-10-31 00:00:00,32,2014_Q2,E,0.0921288301437,0.0914339092322,0.0662284156999,0.0550352742833,0.0707650738657,1,0.3
2014-10-31 00:00:00,32,2014_Q3,A,0.0251774056873,0.0247856222418,0.0211137463265,0.0206715818023,0.0222164116002,1,0.3
2014-10-31 00:00:00,32,2014_Q3,C,0.0450800449298,0.0470461988201,0.0301509869473,0.0255905820516,0.0321922703189,4,1.2
2014-11-30 00:00:00,1,2014_Q1,A,0.0473641992775,0.0450838089756,0.0453761981049,0.0422053500387,0.0468096788195,18,10.57
2014-11-30 00:00:00,1,2014_Q1,B,0.0555957968305,0.0571722018504,0.0474611603452,0.0397194376348,0.0490607147741,22,11.23
2014-11-30 00:00:00,1,2014_Q1,C,0.0786490586357,0.0774359324116,0.0637820887739,0.0539631379894,0.0662771413049,17,7.77
2014-11-30 00:00:00,1,2014_Q1,D,0.103135214608,0.106818567106,0.0890167285737,0.0648903812353,0.0976331322502,12,5.75
2014-11-30 00:00:00,1,2014_Q1,E,0.127244999565,0.122868742542,0.105580573171,0.0795702001435,0.109721559829,15,5.96
2014-11-30 00:00:00,1,2014_Q2,A,0.0475607791952,0.0480489500291,0.0417167384635,0.0400237107624,0.043206641102,13,11.51
2014-11-30 00:00:00,1,2014_Q2,B,0.0542278025005,0.0555637743077,0.0379884933176,0.0337412781343,0.0392947181958,29,21.65
2014-11-30 00:00:00,1,2014_Q2,C,0.0686537767557,0.0679049091194,0.0288356854515,0.0391336172749,0.0301055720653,16,14.45
2014-11-30 00:00:00,1,2014_Q2,D,0.0974695615671,0.0958534615479,0.047537849223,0.0581205398149,0.0494573985351,12,7.3
2014-11-30 00:00:00,1,2014_Q2,E,0.130784320797,0.12568171817,0.0760832197195,0.0621094441893,0.079314144213,15,10.64
2014-11-30 00:00:00,1,2014_Q3,A,0.0382578592839,0.0394127300977,0.0338133034396,0.0325608288822,0.0351600294361,27,25.45
2014-11-30 00:00:00,1,2014_Q3,B,0.0480101594133,0.0469386843125,0.029415624412,0.0338870627708,0.0304833280588,43,40.04
